text,category
"Congratulations! You’ve won a $1,000 gift card.",spam
Click here to get unlimited access to premium content for free.,spam
Get rich quick! Invest in our scheme now!,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"Congratulations! You’ve won a $1,000 gift card.",spam
Get rich quick! Invest in our scheme now!,spam
Get rich quick! Invest in our scheme now!,spam
"Congratulations! You’ve won a $1,000 gift card.",spam
You have won a free prize! Claim it now before it's gone.,spam
This is your last chance to claim your free iPhone!,spam
Get rich quick! Invest in our scheme now!,spam
This is your last chance to claim your free iPhone!,spam
"Act fast! Your computer is infected, download the fix now.",spam
"Urgent! Your account has been compromised, click here to fix it.",spam
You have won a free prize! Claim it now before it's gone.,spam
Get rich quick! Invest in our scheme now!,spam
"Act fast! Your computer is infected, download the fix now.",spam
"You’ve been selected for a free vacation, act now!",spam
Click here to get unlimited access to premium content for free.,spam
This is your last chance to claim your free iPhone!,spam
You have won a free prize! Claim it now before it's gone.,spam
You have won a free prize! Claim it now before it's gone.,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
This is your last chance to claim your free iPhone!,spam
"You’ve been selected for a free vacation, act now!",spam
"Urgent! Your account has been compromised, click here to fix it.",spam
You have won a free prize! Claim it now before it's gone.,spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"You’ve been selected for a free vacation, act now!",spam
You have won a free prize! Claim it now before it's gone.,spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
Get rich quick! Invest in our scheme now!,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
You have won a free prize! Claim it now before it's gone.,spam
Get rich quick! Invest in our scheme now!,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"You’ve been selected for a free vacation, act now!",spam
You have won a free prize! Claim it now before it's gone.,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
You have won a free prize! Claim it now before it's gone.,spam
"Congratulations! You’ve won a $1,000 gift card.",spam
Click here to get unlimited access to premium content for free.,spam
"Get instant approval for a $10,000 loan with no credit check!",spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
Click here to get unlimited access to premium content for free.,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"Get instant approval for a $10,000 loan with no credit check!",spam
Click here to get unlimited access to premium content for free.,spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
"Act fast! Your computer is infected, download the fix now.",spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
Click here to get unlimited access to premium content for free.,spam
"Act fast! Your computer is infected, download the fix now.",spam
This is your last chance to claim your free iPhone!,spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
This is your last chance to claim your free iPhone!,spam
"Get instant approval for a $10,000 loan with no credit check!",spam
"You’ve been selected for a free vacation, act now!",spam
You have won a free prize! Claim it now before it's gone.,spam
"Get instant approval for a $10,000 loan with no credit check!",spam
"Act fast! Your computer is infected, download the fix now.",spam
"Act fast! Your computer is infected, download the fix now.",spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
You have won a free prize! Claim it now before it's gone.,spam
"You’ve been selected for a free vacation, act now!",spam
Click here to get unlimited access to premium content for free.,spam
Get rich quick! Invest in our scheme now!,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"You’ve been selected for a free vacation, act now!",spam
"Act fast! Your computer is infected, download the fix now.",spam
Get rich quick! Invest in our scheme now!,spam
"Act fast! Your computer is infected, download the fix now.",spam
You have won a free prize! Claim it now before it's gone.,spam
You have won a free prize! Claim it now before it's gone.,spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
Click here to get unlimited access to premium content for free.,spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"Act fast! Your computer is infected, download the fix now.",spam
Click here to get unlimited access to premium content for free.,spam
This is your last chance to claim your free iPhone!,spam
"Act fast! Your computer is infected, download the fix now.",spam
Get rich quick! Invest in our scheme now!,spam
Click here to get unlimited access to premium content for free.,spam
"You’ve been selected for a free vacation, act now!",spam
Click here to get unlimited access to premium content for free.,spam
"You’ve been selected for a free vacation, act now!",spam
You have won a free prize! Claim it now before it's gone.,spam
"You’ve been selected for a free vacation, act now!",spam
"Get instant approval for a $10,000 loan with no credit check!",spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"Get instant approval for a $10,000 loan with no credit check!",spam
Get rich quick! Invest in our scheme now!,spam
"Urgent! Your account has been compromised, click here to fix it.",spam
Get rich quick! Invest in our scheme now!,spam
"You have unclaimed rewards waiting for you, click to redeem.",spam
"Act fast! Your computer is infected, download the fix now.",spam
"Get instant approval for a $10,000 loan with no credit check!",spam
Get rich quick! Invest in our scheme now!,spam
"Act fast! Your computer is infected, download the fix now.",spam
"Act fast! Your computer is infected, download the fix now.",spam
"Act fast! Your computer is infected, download the fix now.",spam
"Congratulations! You’ve won a $1,000 gift card.",spam
"Urgent! Your account has been compromised, click here to fix it.",spam
"You’ve been selected for a free vacation, act now!",spam
Get rich quick! Invest in our scheme now!,spam
